"Python Developer-big Data Analytics, Taazaa Inc., Sector 63, Noida",https://www.naukri.com/job-listings-Python-Developer-big-Data-Analytics-Taazaa-Inc-Sector-63-Noida-Taazaa-Inc-Delhi-Noida-3-to-5-years-190918008688?src=jobsearchDesk&sid=15385956511291&xp=11&px=1,Taazaa Inc.,"Delhi, Noida",3-5 yrs,"Python Developer, Big Data, Analytics, Hadoop, SQL, Excel, R, JSON, SPSS...","Manage end to end analytics projects including business requirement analysis, define scope, solution ...",  Not disclosed ,15 days ago
Data Analytics Trainer for Corporate Training Institute,https://www.naukri.com/job-listings-Data-Analytics-Trainer-for-Corporate-Training-Institute-Yoda-Learning-Solutions-Delhi-NCR-3-to-7-years-190918007875?src=jobsearchDesk&sid=15385956511291&xp=12&px=1,Yoda Learning Solutions,Delhi NCR,3-7 yrs,"Alteryx, Corporate Training, Data Analytics, Business Intelligence...",Should be capable to deliver training modules to both L1 & L2 type of audiences. ;Should have a good ...,"    6,00,000 - 10,00,000 P.A.  ",15 days ago
Analytics Consultant - Fmcg/retail/cpg Domain - Iit/nit,https://www.naukri.com/job-listings-Analytics-Consultant-Fmcg-retail-cpg-Domain-Iit-nit-Decision-Point-Gurgaon-Delhi-NCR-3-to-5-years-011018900789?src=jobsearchDesk&sid=15385956511291&xp=13&px=1,Decision Point,"Gurgaon, Delhi NCR",3-5 yrs,"FMCG Sales, Data Analytics, Marketing Analytics, Data Analysis, Statistical...",- Exposure to the Indian consumer market dynamics and application of analytics in developing marketing ...,  Not disclosed ,1 day ago
Senior Business Analyst - SAS Data - Analytics Firm,https://www.naukri.com/job-listings-Senior-Business-Analyst-SAS-Data-Analytics-Firm-HuQuo-Delhi-NCR-Gurgaon-3-to-8-years-230818900271?src=jobsearchDesk&sid=15385956511291&xp=14&px=1,HuQuo,"Delhi NCR, Gurgaon",3-8 yrs,"sql, business analysis, data analytics, data mining, sas, vba, regression...","- Strong SAS at least 3 years of experience in SAS, VBA, and SQL (Mandatory);- Should have analytical ...",  Not disclosed ,36 days ago
Manager/senior Manager - Big Data Analytics - Banking Domain,https://www.naukri.com/job-listings-Manager-senior-Manager-Big-Data-Analytics-Banking-Domain-Huquo-Consulting-Pvt-Ltd-Gurgaon-5-to-10-years-140918900744?src=jobsearchDesk&sid=15385956511291&xp=15&px=1,Huquo Consulting Pvt. Ltd,Gurgaon,5-10 yrs,"sql, hive, spark, big data analytics, tableau, data analysis...",- Extensive experience using Big Data technologies (4-12 years) to analyze and solve business problems ...,  Not disclosed ,16 days ago
Manager - Data & Analytics,https://www.naukri.com/job-listings-Manager-Data-Analytics-Cargill-Business-Services-India-Private-Limited-Gurgaon-5-to-10-years-100918900400?src=jobsearchDesk&sid=15385956511291&xp=16&px=1,Cargill Business Services India Private Limited,Gurgaon,5-10 yrs,"data analytics, data analysis, training needs, business generation, sas...","5+ years practical experience with SAS, ETL, data processing and data analytics;5- 10 Years of ...",  Not disclosed ,23 days ago
Big Data Analytics Role - Insurance Domain - BFS,https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-100918900010?src=jobsearchDesk&sid=15385956511291&xp=17&px=1,Nacre Outsourcing,Gurgaon,6-10 yrs,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",- Should be able to understand business needs and apply analytical concepts to generate actionable ...,  Not disclosed ,23 days ago
Hadoop/big Data Consultant - Splunk,https://www.naukri.com/job-listings-Hadoop-big-Data-Consultant-Splunk-Delhi-NCR-Noida-8-to-10-years-280918003812?src=jobsearchDesk&sid=15385956511291&xp=18&px=1,Premium,"Delhi NCR, Noida",8-10 yrs,"Data Analytics, Big Data, Analytics, Analytics Big Data",- You should be able to build a custom Function Module with medium complexity program logic;- As a ...,  Not disclosed ,1 day ago
Product Specialist,https://www.naukri.com/job-listings-Product-Specialist-G-Cube-Webwide-Software-Pvt-Ltd-Noida-8-to-12-years-031018007285?src=jobsearchDesk&sid=15385956511291&xp=19&px=1,G-Cube Webwide Software Pvt. Ltd.,Noida,8-12 yrs,"R, Data Analytics, Machine Learning, Distribution System...",None,"    15,00,000 - 18,00,000 P.A.  ",1 day ago
Business Analyst (contractual Role),https://www.naukri.com/job-listings-Business-Analyst-contractual-Role-AIRSEVA-INDIA-PVT-LTD-Gurgaon-5-to-8-years-031018006959?src=jobsearchDesk&sid=15385956511291&xp=20&px=1,AIRSEVA INDIA PVT LTD,Gurgaon,5-8 yrs,"Big Data Analytics, Data Science, Macros, VBA, Data Quality, Charts...", 8 + years top tier analyst or consulting experience in business intelligence or analytics ...,  Not disclosed ,1 day ago
Post Sales/ Customer Success Executive,https://www.naukri.com/job-listings-Post-Sales-Customer-Success-Executive-Adaan-Digital-Solutions-Pvt-Ltd-Delhi-NCR-0-to-3-years-031018004923?src=jobsearchDesk&sid=15385956511291&xp=21&px=1,Adaan Digital Solutions Pvt. Ltd.,Delhi NCR,0-3 yrs,"Outbound, Inbound, Marketing, Advertising, Post Sales, Communication Skills...","All the customer e-mails, calls and complaints must be addressed in a timely and effective manner;The ...","    1,00,000 - 3,50,000 P.A.  ",1 day ago
Senior Recruiter,https://www.naukri.com/job-listings-Senior-Recruiter-Kronos-Solutions-India-Pvt-Ltd-Noida-8-to-12-years-011018901996?src=jobsearchDesk&sid=15385956511291&xp=22&px=1,Kronos Solutions India Pvt. Ltd.,Noida,8-12 yrs,"Recruitment, Talent acquisition, Healthcare, Human capital management...","You should have prior experience recruiting across levels within a multidisciplinary environment;Ideally, ...",  Not disclosed ,1 day ago
Senior Analytics Consultant,https://www.naukri.com/job-listings-Senior-Analytics-Consultant-Decision-Point-Gurgaon-4-to-7-years-011018900790?src=jobsearchDesk&sid=15385956511291&xp=23&px=1,Decision Point,Gurgaon,4-7 yrs,"sales, marketing, team management, excel powerpoint, data analytics, client...",The position required for an individual to manage Decision Points client engagement end to end which ...,  Not disclosed ,1 day ago
Senior Business Analyst - FMCG Sector - Iit/nit,https://www.naukri.com/job-listings-Senior-Business-Analyst-FMCG-Sector-Iit-nit-Decision-Point-Delhi-NCR-Gurgaon-2-to-4-years-011018900788?src=jobsearchDesk&sid=15385956511291&xp=24&px=1,Decision Point,"Delhi NCR, Gurgaon",2-4 yrs,"sales, business analysis, marketing, data analytics, excel powerpoint, team...",The position required for an individual to manage Decision Points client engagement end to end which ...,  Not disclosed ,1 day ago
